    7: 0x004AE1F0  GetNumStationeries
    8: 0x004AE230  GetStationeryInfo
    9: 0x004AE380  SelectStationery
   10: 0x004AE3F0  GetSelectedStationeryTexture
   11: 0x004AE430  GetNumPackages
   12: 0x004AE450  GetPackageInfo
   13: 0x004AE550  SelectPackage
   14: 0x004AE590  GetSendMailItem
   15: 0x004AE730  GetSendMailPrice
   16: 0x004AE800  SendMail
   17: 0x004AEAB0  CheckInbox
   18: 0x004AEB90  GetInboxNumItems
   19: 0x004AEBC0  GetInboxHeaderInfo
   20: 0x004AF110  GetInboxText
   21: 0x004AF360  GetInboxInvoiceInfo
   22: 0x004AF5D0  GetInboxItem
   23: 0x004AF7D0  TakeInboxMoney
   24: 0x004AF8E0  TakeInboxItem
   25: 0x004AFA60  TakeInboxTextItem
   26: 0x004AFBA0  ReturnInboxItem
   27: 0x004AFCD0  DeleteInboxItem
   28: 0x004AFE00  InboxItemCanDelete
   29: 0x004AFEA0  HasNewMail

=== Loop @ 0x004B4B4F  Table 0x00846648  Count=19 ===
    0: 0x004B3CB0  GetNumSpellTabs
    1: 0x004B3CE0  GetSpellTabInfo
    2: 0x004B3E50  GetSpellTexture
    3: 0x004B3FE0  GetSpellName
    4: 0x004B40A0  GetSpellCooldown
    5: 0x004B4180  GetSpellAutocast
    6: 0x004B4240  ToggleSpellAutocast
    7: 0x004B42A0  PickupSpell
    8: 0x004B42F0  CastSpell
    9: 0x004B4370  IsCurrentCast
   10: 0x004B43E0  UpdateSpells
   11: 0x004B43F0  PlayerHasSpells
   12: 0x004B4410  HasPetSpells
   13: 0x004B44E0  IsSpellPassive
   14: 0x004B4590  GetNumShapeshiftForms
   15: 0x004B45C0  GetShapeshiftFormInfo
   16: 0x004B4810  CastShapeshiftForm
   17: 0x004B49A0  GetShapeshiftFormCooldown
   18: 0x004B4AB0  CastSpellByName

=== Loop @ 0x004B5A2F  Table 0x00846B04  Count=4 ===
    0: 0x004B5960  TutorialsEnabled
    1: 0x004B59B0  FlagTutorial
    2: 0x004B5A00  ClearTutorials
    3: 0x004B5A10  ResetTutorials

=== Loop @ 0x004B82CF  Table 0x00846C88  Count=9 ===
    0: 0x004B7F40  GetNumBindings
    1: 0x004B7F60  GetBinding
    2: 0x004B8000  SetBinding
    3: 0x004B80A0  GetBindingKey
    4: 0x004B8120  GetBindingAction
    5: 0x004B8180  RunBinding
    6: 0x004B8200  GetCurrentBindingSet
    7: 0x004B8220  LoadBindings
    8: 0x004B8260  SaveBindings

=== Loop @ 0x004BC13F  Table 0x00847240  Count=16 ===
    0: 0x004BB530  GetNumRaidMembers
    1: 0x004BB560  GetRaidRosterInfo
    2: 0x004BB820  SetRaidRosterSelection
    3: 0x004BB890  GetRaidRosterSelection
    4: 0x004BB8C0  IsRaidLeader
    5: 0x004BB910  IsRaidOfficer
    6: 0x004BB990  SetRaidSubgroup
    7: 0x004BBB00  SwapRaidSubgroup
    8: 0x004BBC90  ConvertToRaid
    9: 0x004BBD20  PromoteToAssistant
   10: 0x004BBDF0  DemoteAssistant
   11: 0x004BBEC0  SetRaidTarget
   12: 0x004BB4B0  GetRaidTargetIndex
   13: 0x004BC080  DoReadyCheck
   14: 0x004BC090  ConfirmReadyCheck
