=== Table 0x00AC3E00  Count=113 ===
  212: 0x0051C2E0  GetItemCount
  213: 0x00517100  GetItemSpell
  214: 0x00510FC0  GetItemCooldown
  215: 0x00522FB0  PickupItem
  216: 0x005110D0  IsCurrentItem
  217: 0x0051C450  IsUsableItem
  218: 0x005171F0  IsHelpfulItem
  219: 0x005172E0  IsHarmfulItem
  220: 0x005173E0  IsConsumableItem
  221: 0x00511150  IsEquippableItem
  222: 0x0051C690  IsEquippedItem
  223: 0x0051C740  IsEquippedItemType
  224: 0x00517530  IsDressableItem
  225: 0x0051C870  ItemHasRange
  226: 0x0051C9C0  IsItemInRange
  227: 0x00511200  GetNumAddOns
  228: 0x00511240  GetAddOnInfo
  229: 0x00511430  GetAddOnMetadata
  230: 0x00511510  UpdateAddOnMemoryUsage
  231: 0x00511530  GetAddOnMemoryUsage
  232: 0x00511610  GetScriptCPUUsage
  233: 0x00511640  UpdateAddOnCPUUsage
  234: 0x00511660  GetAddOnCPUUsage
  235: 0x00511720  GetFunctionCPUUsage
  236: 0x00517890  GetFrameCPUUsage
  237: 0x005117C0  GetEventCPUUsage
  238: 0x00511830  ResetCPUUsage
  239: 0x005179B0  GetAddOnDependencies
  240: 0x00511840  EnableAddOn
  241: 0x00511900  EnableAllAddOns
  242: 0x00511940  DisableAddOn
  243: 0x00511A00  DisableAllAddOns
  244: 0x00511A40  ResetDisabledAddOns
  245: 0x00511A60  IsAddOnLoadOnDemand
  246: 0x00511B30  IsAddOnLoaded
  247: 0x00528920  LoadAddOn
  248: 0x0051CB30  PartialPlayTime
  249: 0x0051CBA0  NoPlayTime
  250: 0x00511C40  GetBillingTimeRested
  251: 0x0051A880  CanShowResetInstances
  252: 0x00515630  ResetInstances
  253: 0x005156A0  IsInInstance
  254: 0x00515750  GetInstanceDifficulty
  255: 0x0051A8C0  GetInstanceInfo
  256: 0x00515790  GetDungeonDifficulty
  257: 0x00526050  SetDungeonDifficulty
  258: 0x00515810  GetRaidDifficulty
  259: 0x005261A0  SetRaidDifficulty
  260: 0x00510930  ReportBug
  261: 0x00510980  ReportSuggestion
  262: 0x0051CC10  GetMirrorTimerInfo
  263: 0x00517AA0  GetMirrorTimerProgress
  264: 0x005165E0  GetNumTitles
  265: 0x0051B3B0  GetCurrentTitle
  266: 0x00522E30  SetCurrentTitle
  267: 0x0051B410  IsTitleKnown
  268: 0x0051B4E0  GetTitleName
  269: 0x0051CD00  UseItemByName
  270: 0x0051CDB0  EquipItemByName
  271: 0x00511C80  GetExistingLocales
  272: 0x00511CC0  InCombatLockdown
  273: 0x00523090  StartAttack
  274: 0x0051D0B0  StopAttack
  275: 0x00517B50  SetTaxiBenchmarkMode
  276: 0x0051D100  GetTaxiBenchmarkMode
  277: 0x0051D170  Dismount
  278: 0x00511D20  VoicePushToTalkStart
  279: 0x00511D20  VoicePushToTalkStop
